Date,Open,High,Low,Close
2021-03-01,45134.11,49790.0,44950.53,49587.03
2021-03-02,49595.76,50200.0,47047.6,48440.65
2021-03-03,48436.61,52640.0,48100.71,50349.37
2021-03-04,50349.37,51773.88,47500.0,48374.09
2021-03-05,48374.09,49448.93,46300.0,48751.71
2021-03-06,48746.81,49200.0,47070.0,48882.2
2021-03-07,48882.2,51450.03,48882.2,50971.75
2021-03-08,50959.11,52402.78,49274.67,52375.17
2021-03-09,52375.18,54895.0,51789.41,54884.5
2021-03-10,54874.67,57387.69,53005.0,55851.59
2021-03-11,55851.59,58150.0,54272.82,57773.16
2021-03-12,57773.15,58081.51,54962.84,57221.72
2021-03-13,57221.72,61844.0,56078.23,61188.39
2021-03-14,61188.38,61724.79,58966.78,58968.31
2021-03-15,58976.08,60633.43,54600.0,55605.2
2021-03-16,55605.2,56938.29,53271.34,56900.75
2021-03-17,56900.74,58974.73,54123.69,58912.97
2021-03-18,58912.97,60129.97,57023.0,57648.16
2021-03-19,57641.0,59468.0,56270.74,58030.01
2021-03-20,58030.01,59880.0,57820.17,58102.28
2021-03-21,58100.02,58589.1,55450.11,57351.56
2021-03-22,57351.56,58430.73,53650.0,54083.25
2021-03-23,54083.25,55830.9,53000.0,54340.89
2021-03-24,54342.8,57200.0,51700.0,52303.65
2021-03-25,52303.66,53287.0,50427.56,51293.78
2021-03-26,51293.78,55073.46,51214.6,55025.59
2021-03-27,55025.59,56700.36,53950.0,55817.14
2021-03-28,55817.14,56559.75,54691.84,55777.63
2021-03-29,55777.65,58405.82,54800.01,57635.47
2021-03-30,57635.46,59368.0,57071.35,58746.57
2021-03-31,58746.57,59800.0,56769.0,58740.55
2021-04-01,58739.46,59490.0,57935.45,58720.44
2021-04-02,58720.45,60200.0,58428.57,58950.01
2021-04-03,58950.01,59791.72,56880.0,57051.94
2021-04-04,57051.95,58492.85,56388.0,58202.01
2021-04-05,58202.01,59272.0,56777.77,59129.99
2021-04-06,59129.99,59495.24,57413.02,57991.15
2021-04-07,57990.03,58655.0,55473.0,55953.45
2021-04-08,55953.44,58153.31,55700.0,58077.52
2021-04-09,58077.52,58894.9,57654.0,58142.54
2021-04-10,58142.55,61500.0,57900.01,59769.13
2021-04-11,59769.13,60699.0,59232.52,60002.43
2021-04-12,59998.8,61300.0,59350.59,59860.0
2021-04-13,59860.01,63777.77,59805.15,63575.0
2021-04-14,63575.01,64854.0,61301.0,62959.53
2021-04-15,62959.53,63800.0,62020.0,63159.98
2021-04-16,63158.74,63520.61,60000.0,61334.8
2021-04-17,61334.81,62506.05,59580.91,60006.66
2021-04-18,60006.67,60499.0,50931.3,56150.01
2021-04-19,56150.01,57526.81,54221.58,55633.14
2021-04-20,55633.14,57076.24,53329.96,56425.0
2021-04-21,56425.0,56757.91,53536.02,53787.63
2021-04-22,53787.62,55521.48,50500.0,51690.96
2021-04-23,51690.95,52131.85,47500.0,51125.14
2021-04-24,51110.56,51166.22,48657.14,50047.84
2021-04-25,50047.84,50567.91,46930.0,49066.77
2021-04-26,49066.76,54356.62,48753.44,54001.39
2021-04-27,54001.38,55460.0,53222.0,55011.97
2021-04-28,55011.97,56428.0,53813.16,54846.22
2021-04-29,54846.23,55195.84,52330.94,53555.0
2021-04-30,53555.0,57963.0,53013.01,57694.27
2021-05-01,57697.25,58458.07,56956.14,57800.37
2021-05-02,57797.35,57911.02,56035.25,56578.21
2021-05-03,56578.21,58981.44,56435.0,57169.39
2021-05-04,57169.39,57200.0,53046.69,53200.01
2021-05-05,53205.05,58069.82,52900.0,57436.11
2021-05-06,57436.11,58360.0,55200.0,56393.68
2021-05-07,56393.68,58650.0,55241.63,57314.75
2021-05-08,57315.49,59500.0,56900.0,58862.05
