Date,Open,High,Low,Close
2021-03-01,0.04807,0.051479,0.048029,0.050599
2021-03-02,0.050596,0.052382,0.049299,0.050262
2021-03-03,0.050278,0.052126,0.050078,0.050592
2021-03-04,0.050587,0.051087,0.047879,0.050048
2021-03-05,0.050028,0.050854,0.048147,0.049609
2021-03-06,0.049601,0.052397,0.049383,0.050984
2021-03-07,0.05098,0.052141,0.050572,0.052122
2021-03-08,0.052123,0.061949,0.051672,0.061949
2021-03-09,0.062104,0.062268,0.056051,0.057998
2021-03-10,0.057964,0.058616,0.054692,0.056004
2021-03-11,0.055977,0.056698,0.054502,0.055918
2021-03-12,0.055921,0.05698,0.054513,0.055349
2021-03-13,0.055353,0.062432,0.054756,0.062432
2021-03-14,0.062384,0.063052,0.058592,0.058592
2021-03-15,0.058531,0.059689,0.055141,0.057088
2021-03-16,0.057086,0.058921,0.055493,0.058607
2021-03-17,0.05861,0.058866,0.056471,0.057653
2021-03-18,0.05764,0.058828,0.054143,0.057383
2021-03-19,0.057377,0.059721,0.056604,0.058328
2021-03-20,0.058315,0.060639,0.05812,0.058961
2021-03-21,0.05897,0.059521,0.056798,0.057234
2021-03-22,0.057259,0.057732,0.054909,0.054962
2021-03-23,0.054941,0.056081,0.05294,0.053556
2021-03-24,0.053528,0.056494,0.051242,0.051702
2021-03-25,0.051699,0.052407,0.049697,0.051448
2021-03-26,0.051433,0.054028,0.051331,0.053952
2021-03-27,0.05394,0.055435,0.053528,0.054377
2021-03-28,0.054381,0.054752,0.053013,0.053698
2021-03-29,0.053678,0.054651,0.053175,0.054052
2021-03-30,0.054052,0.055434,0.053697,0.0539
2021-03-31,0.053902,0.054468,0.052269,0.053657
2021-04-01,0.053655,0.070111,0.053644,0.061986
2021-04-02,0.061968,0.062249,0.057333,0.057664
2021-04-03,0.057658,0.059484,0.055804,0.055804
2021-04-04,0.055776,0.058107,0.055295,0.057404
2021-04-05,0.057411,0.060153,0.056435,0.059696
2021-04-06,0.059689,0.06505,0.058094,0.064458
2021-04-07,0.064454,0.067299,0.057641,0.059028
2021-04-08,0.059036,0.061745,0.058817,0.061464
2021-04-09,0.061463,0.06391,0.060296,0.061684
2021-04-10,0.061591,0.065068,0.060818,0.063845
2021-04-11,0.063749,0.079243,0.063203,0.074649
2021-04-12,0.074544,0.074986,0.068889,0.070767
2021-04-13,0.070678,0.095181,0.070678,0.093445
2021-04-14,0.094256,0.14251,0.092452,0.121517
2021-04-15,0.121167,0.187326,0.120736,0.182207
2021-04-16,0.181587,0.4377,0.180488,0.36587
2021-04-17,0.366098,0.374455,0.236524,0.284173
2021-04-18,0.285105,0.349918,0.24644,0.320475
2021-04-19,0.320466,0.431751,0.30908,0.407318
2021-04-20,0.408435,0.422347,0.271618,0.3195
2021-04-21,0.316953,0.346966,0.297036,0.306925
2021-04-22,0.30599,0.308757,0.256276,0.260967
2021-04-23,0.261023,0.268378,0.163669,0.248509
2021-04-24,0.249544,0.28939,0.229891,0.270212
2021-04-25,0.269789,0.288771,0.226301,0.251111
2021-04-26,0.25124,0.280452,0.248026,0.270674
2021-04-27,0.271427,0.279629,0.264928,0.272188
2021-04-28,0.272273,0.344662,0.256231,0.323682
2021-04-29,0.323232,0.323881,0.296904,0.305169
2021-04-30,0.304702,0.339757,0.302981,0.337561
2021-05-01,0.337559,0.397135,0.32829,0.392987
2021-05-02,0.391087,0.400029,0.364874,0.376046
2021-05-03,0.373631,0.445567,0.373631,0.441707
2021-05-04,0.440274,0.605998,0.4008,0.541334
2021-05-05,0.537355,0.695262,0.523822,0.657633
2021-05-06,0.652842,0.663616,0.545102,0.580804
2021-05-07,0.58111,0.731972,0.520174,0.684777
2021-05-08,0.687801,0.737567,0.608168,0.636439
