Date,Open,High,Low,Close
2021-03-01,0.4157,0.454,0.41207,0.44537
2021-03-02,0.44537,0.45532,0.42159,0.4357
2021-03-03,0.43572,0.46869,0.43011,0.44846
2021-03-04,0.44841,0.49449,0.43411,0.48096
2021-03-05,0.4812,0.48488,0.44575,0.45457
2021-03-06,0.45441,0.4765,0.44901,0.46285
2021-03-07,0.46292,0.4689,0.45641,0.46558
2021-03-08,0.46579,0.48987,0.45505,0.47412
2021-03-09,0.47413,0.48736,0.471,0.4849
2021-03-10,0.48481,0.4887,0.4545,0.46155
2021-03-11,0.4617,0.46427,0.44058,0.45187
2021-03-12,0.45187,0.46488,0.42205,0.43934
2021-03-13,0.43934,0.46646,0.43205,0.45787
2021-03-14,0.45786,0.46155,0.43857,0.43905
2021-03-15,0.439,0.44815,0.42268,0.43574
2021-03-16,0.43566,0.52221,0.42723,0.46024
2021-03-17,0.46037,0.48245,0.45317,0.4698
2021-03-18,0.46993,0.4905,0.46558,0.46893
2021-03-19,0.46899,0.47536,0.45848,0.46651
2021-03-20,0.4665,0.54999,0.46424,0.52613
2021-03-21,0.52584,0.54691,0.49508,0.51651
2021-03-22,0.51661,0.6,0.50082,0.5441
2021-03-23,0.54403,0.59638,0.5378,0.5498
2021-03-24,0.54945,0.56302,0.45212,0.48021
2021-03-25,0.48022,0.5248,0.454,0.51058
2021-03-26,0.51034,0.57689,0.50999,0.56357
2021-03-27,0.56348,0.57464,0.5342,0.54752
2021-03-28,0.54735,0.56075,0.53879,0.54552
2021-03-29,0.5455,0.57082,0.54317,0.56538
2021-03-30,0.56528,0.588,0.55903,0.5621
2021-03-31,0.56207,0.57682,0.52624,0.56982
2021-04-01,0.5698,0.59555,0.54864,0.57087
2021-04-02,0.57061,0.61,0.56522,0.60701
2021-04-03,0.60701,0.64262,0.573,0.57831
2021-04-04,0.57836,0.63599,0.56591,0.635
2021-04-05,0.63501,0.93999,0.6194,0.91584
2021-04-06,0.91584,1.119,0.7931,1.09663
2021-04-07,1.09666,1.10882,0.856,0.91542
2021-04-08,0.91544,1.07294,0.90128,1.05599
2021-04-09,1.05571,1.0849,0.9808,1.01721
2021-04-10,1.01754,1.399,1.00617,1.3728
2021-04-11,1.37215,1.5,1.305,1.35118
2021-04-12,1.35118,1.475,1.31804,1.46843
2021-04-13,1.4685,1.88888,1.41778,1.79611
2021-04-14,1.79607,1.96689,1.56001,1.83468
2021-04-15,1.83396,1.885,1.65243,1.75781
2021-04-16,1.75781,1.81041,1.42,1.54805
2021-04-17,1.54805,1.74163,1.52991,1.53896
2021-04-18,1.53988,1.56505,1.16,1.40797
2021-04-19,1.40797,1.5339,1.251,1.30945
2021-04-20,1.30941,1.44796,1.18,1.38501
2021-04-21,1.385,1.4645,1.27545,1.29097
2021-04-22,1.2911,1.41947,1.0859,1.15489
2021-04-23,1.15489,1.19724,0.88601,1.17073
2021-04-24,1.17019,1.172,1.01753,1.04833
2021-04-25,1.04971,1.156,0.9418,1.0351
2021-04-26,1.0353,1.375,1.0133,1.3629
2021-04-27,1.3629,1.462,1.3284,1.4017
2021-04-28,1.4017,1.4492,1.2814,1.3576
2021-04-29,1.3576,1.42,1.3263,1.3978
2021-04-30,1.3978,1.6397,1.3745,1.5988
2021-05-01,1.5989,1.6666,1.5226,1.651
2021-05-02,1.651,1.658,1.525,1.5605
2021-05-03,1.5605,1.6216,1.47,1.5546
2021-05-04,1.5546,1.558,1.32,1.3877
2021-05-05,1.3878,1.624,1.366,1.6133
2021-05-06,1.6137,1.7658,1.521,1.6028
2021-05-07,1.6028,1.695,1.505,1.5793
2021-05-08,1.5795,1.6277,1.5404,1.5611
